#{"t_start": 1781387336.745137, "env_id": "None"}
r,l,t
325.1384,100,900.071936
322.0282,100,901.997927
178.9161,100,903.817492
258.5472,100,905.591381
-146.4223,100,907.394953
302.6323,100,909.254687
256.2668,100,911.366541
270.9778,100,913.224094
-382.5903,100,915.074651
127.8203,100,916.949672
134.1262,100,918.836898
274.7827,100,920.752396
-145.4289,100,922.67203
-3.2323,1,922.700907
-3.2323,1,922.729855
228.982,100,924.639832
328.45,100,926.597567
313.601,100,928.542846
-377.4473,100,930.490678
-3.214,1,930.519724
-3.218,1,930.548616
-6.7399,3,930.617347
-2.8415,2,930.666841
216.3348,100,932.645632
-3.1132,1,932.676166
311.3275,100,934.640849
259.4415,100,936.628163
207.9244,100,938.631914
-76.9397,100,940.635139
290.5083,100,942.678015
212.2124,100,944.82122
331.655,100,946.906267
235.6256,100,949.021012
-3.2078,1,949.054993
-64.0228,100,951.169166
248.1502,100,953.76116
-384.1444,100,955.937295
270.1557,100,958.145002
156.0962,100,960.308889
274.723,100,962.40362
272.1826,100,964.504082
275.2875,100,966.620941
144.0166,100,968.738653
229.5592,100,970.942474
-105.6046,100,973.143438
274.019,100,975.374005
289.806,100,986.64232
221.4032,100,988.845566
-3.1132,1,988.878611
-79.5181,100,991.044961
188.2739,100,993.209422
226.1776,100,995.380241
-2.1376,4,995.476552
-7.1283,3,995.554475
265.622,100,997.716819
306.1083,100,1000.039688
135.63,100,1002.159333
247.6882,100,1004.27623
235.8684,100,1006.648674
153.093,100,1008.779004
164.841,100,1010.930257
223.0578,100,1013.057838
-3.2196,1,1013.089317
306.4839,100,1015.196466
332.5599,100,1017.535581
-2.5158,3,1017.608901
304.5293,100,1019.775712
148.2874,100,1022.243842
-3.2206,1,1022.278998
-7.4534,2,1022.335301
-5.9215,6,1022.480684
-3.2323,1,1022.513734
292.5571,100,1024.664731
194.7514,100,1026.839066
281.725,100,1029.025736
159.946,100,1031.402009
176.3778,100,1033.541735
-380.397,100,1035.759284
-385.3689,100,1038.064692
-3.0887,1,1038.102318
177.5552,100,1040.305688
-3.218,1,1040.338206
185.794,100,1042.511606
-3.2082,1,1042.543254
160.1086,100,1044.654972
247.275,100,1046.880919
-387.3427,100,1049.024167
-3.2078,1,1049.063469
299.6889,100,1051.56308
177.3174,100,1053.672343
128.3116,100,1055.754874
218.3168,100,1057.85497
199.9118,100,1059.911877
-27.6758,100,1062.026332
-2.8423,2,1062.087043
266.9104,100,1064.211654
260.6611,100,1066.284212
-3.2062,1,1066.316502
-3.1132,1,1066.348745
-34.8389,100,1068.441572
236.4817,100,1070.565727
-9.7278,6,1070.706613
-68.2252,100,1072.882763
264.7156,100,1075.031522
-3.214,1,1075.064619
-2.4764,3,1075.143032
-2.611,2,1075.197429
119.5272,100,1077.351706
192.1182,100,1079.631146
220.8261,100,1081.739839
328.3465,100,1083.873289
154.3114,100,1086.041349
284.8013,100,1088.26056
-389.3209,100,1090.392369
-386.5451,100,1092.502062
-3.1132,1,1092.533212
241.4652,100,1094.623612
274.5736,100,1097.007908
296.481,100,1099.088744
-3.1015,1,1099.122221
291.9953,100,1101.201881
195.7452,100,1103.245868
296.068,100,1105.391818
273.7087,100,1107.524685
173.637,100,1109.740026
251.2985,100,1111.866257
150.8361,100,1114.034768
227.1602,100,1116.159214
-3.1132,1,1116.193728
264.1474,100,1118.514265
128.7802,100,1120.647919
-7.1876,2,1120.699439
268.2108,100,1122.992424
-222.7057,100,1125.295393
134.5648,100,1127.453631
-384.4722,100,1129.58526
271.0834,100,1131.875081
277.1056,100,1134.15399
299.5162,100,1136.295982
-3.2269,1,1136.329896
179.5761,100,1138.626812
214.9751,100,1141.131246
156.03,100,1143.238917
-3.2209,1,1143.271114
212.0792,100,1145.404095
-3.1132,1,1145.436046
-11.2967,4,1145.533844
268.2924,100,1147.825244
-3.0906,1,1147.898029
-388.8432,100,1150.09509
202.8062,100,1152.232673
294.9908,100,1154.445528
143.5218,100,1156.66394
134.108,100,1158.799913
271.6024,100,1161.028272
230.5003,100,1163.165206
-11.6308,3,1163.245641
261.6573,100,1165.442446
-51.681,100,1167.599958
148.6685,100,1169.814124
280.0718,100,1172.016188
-155.6225,100,1174.30306
184.4942,100,1176.563251
253.9348,100,1178.66926
246.2925,100,1180.771909
137.6311,100,1182.870471
127.4956,100,1184.971314
154.3439,100,1187.345256
-3.2323,1,1187.377667
213.6992,100,1189.494806
234.8153,100,1191.59808
-3.2062,1,1191.630516
-3.2155,1,1191.6634
234.5728,100,1193.773435
-3.2171,1,1193.806191
-379.6242,100,1195.921349
-3.2029,1,1195.95424
-7.4341,2,1196.010643
-382.5903,100,1198.123941
266.8143,100,1200.21928
325.7015,100,1202.3288
-378.476,100,1210.822222
-2.1205,3,1210.895626
218.1464,100,1212.983037
173.4542,100,1215.07668
-3.2299,1,1215.110381
-6.7189,4,1215.20671
253.6775,100,1217.301163
-3.2323,1,1217.333783
246.6792,100,1219.422842
-373.2197,100,1221.506367
-88.9308,100,1223.587493
-193.8998,100,1225.697038
237.9343,100,1227.781007
237.5906,100,1229.855189
293.9205,100,1231.948183
-3.1132,1,1231.984807
-374.2074,100,1234.071816
-3.214,1,1234.106413
-3.2323,1,1234.139445
